"styrk08_code","occupation_label_no","employees_2025q4","fte_2025q1","fte_2025q2","fte_2025q3","fte_2025q4","annual_fte_proxy_2025","annual_fte_status","workforce_source_id","occupation_factor_low","occupation_factor_base","occupation_factor_high","factor_status","factor_source_id","potential_basis","rationale"
"5169","Andre personlige tjenesteytere","497","180","197","235","210","205.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5211","Torghandlere","347","264","284","341","283","293","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5212","Gateselgere, mat","17","9","19","38","13","19.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5221","Innehavere av kiosk/liten butikk","148","134","134","137","129","133.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5222","Butikkavdelingssjefer","5461","5156","5161","5223","5246","5196.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5223","Butikkmedarbeidere","165565","87732","89831","98101","89728","91348","derived_quarterly_mean","ssb-11658-occupation-workforce-2025","0.03","0.10","0.25","assumption","occupation-factor-assumptions-v0","interpersonal","Physical sales and stocking with some product lookup and customer support"
"5230","Billettselgere","412","211","264","334","239","262","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5241","Mannekenger og modeller","61","39","29","34","33","33.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5242","Demonstrasjonsselgere","73","59","67","60","58","61","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5243","Dørselgere","309","230","310","375","245","290","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5244","Telefon- og nettselgere","3872","3167","3163","3098","3080","3127","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5245","Servicemedarbeidere (bensinstasjon)","656","457","496","502","494","487.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5246","Gatekjøkken- og kafémedarbeidere mv.","16444","8287","8972","10516","8801","9144","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5249","Andre salgsmedarbeidere","3610","3130","3025","3177","3023","3088.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5311","Barnehage- og skolefritidsassistenter mv.","94513","74013","73890","69875","73662","72860","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5312","Skoleassistenter","13176","9380","9331","7840","8963","8878.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5321","Helsefagarbeidere","96139","78744","78420","80551","78994","79177.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025","0.02","0.05","0.12","assumption","occupation-factor-assumptions-v0","physical_and_personal_care","Hands-on care dominates with limited documentation and planning assistance"
"5322","Hjemmehjelper","15096","8916","8969","9884","9360","9282.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5329","Andre pleiemedarbeidere","71067","40708","40655","56817","41795","44993.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5411","Brannkonstabler","4307","4328","4400","4556","4464","4437","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5413","Fengselsbetjenter","3687","3425","3405","3787","3452","3517.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5414","Vektere","10460","7634","7864","8394","8089","7995.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5419","Andre sikkerhetsarbeidere","3309","1936","1997","2374","2030","2084.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"6111","Korn- og grønnsaksprodusenter","151","89","133","163","114","124.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"6112","Frukt- og bærprodusenter","24","21","20","30","16","21.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"6113","Gartnere","6265","4850","6145","7114","5682","5947.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025","0.01","0.03","0.08","assumption","occupation-factor-assumptions-v0","physical","Outdoor and cultivation work dominates with occasional planning and administration"
"6114","Kombinasjonsbrukere, nyttevekster","0","0","0","0","0","0","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"6121","Melke- og husdyrprodusenter","3741","2088","2292","2536","2483","2349.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"6122","Egg- og fjærfeprodusenter","391","222","249","246","251","242","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"6123","Birøktere mv.","10",,"8","11","8",,"unknown","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"6129","Andre dyreoppdrettere og røktere","0",,,,,,"unknown","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"6130","Plante- og husdyrprodusenter (kombinasjonsbruk)","6626","2623","3204","4020","3585","3358","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"6210","Skogbrukere","1232","788","1044","1310","1149","1072.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"6221","Havbruksarbeidere","8003","7012","7147","8183","7403","7436.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"6222","Fiskere","530","423","420","414","460","429.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"6224","Fangstfolk","33","12","8","15","14","12.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7112","Murere","4211","3879","3942","4045","4040","3976.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7113","Steinhoggere mv.","742","609","675","698","716","674.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7114","Betongarbeidere","10861","9998","10052","10283","10482","10203.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7115","Tømrere og snekkere","46454","44140","43727","43389","44951","44051.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025","0.02","0.05","0.12","assumption","occupation-factor-assumptions-v0","physical","On-site work dominates with some estimates planning and documentation"
"7119","Andre bygningsarbeidere","7229","6265","6706","6864","7062","6724.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7121","Taktekkere","1579","1430","1451","1493","1541","1478.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7122","Gulv- og flisleggere","2362","2196","2207","2170","2258","2207.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7123","Gips- og sparklingsarbeidere","18",,,"12","14",,"unknown","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7124","Isolatører mv.","2619","2377","2312","2421","2540","2412.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7125","Glassarbeidere","1428","1401","1401","1353","1368","1380.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7126","Rørleggere og VVS-montører","21230","19857","19621","19852","20610","19985","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7127","Kuldemontører mv.","1434","1408","1366","1368","1407","1387.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7131","Malere og byggtapetserere","7753","7241","7667","7916","7436","7565","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7132","Overflatebehandlere og lakkerere","5154","4803","5167","5412","4994","5094","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7133","Feiere, fasaderenholdere mv.","857","822","829","850","841","835.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7211","Støpere","270","208","243","255","264","242.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7212","Sveisere","9044","8284","8754","8546","8684","8567","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7213","Kopper- og blikkenslagere","4792","4540","4527","4522","4622","4552.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7214","Platearbeidere","5801","5566","5667","5604","5604","5610.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7215","Riggere og spleisere","1928","1551","1745","1869","1818","1745.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7221","Smeder","315","254","256","275","248","258.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7222","Verktøymaker, låsesmeder mv.","2677","2508","2513","2536","2599","2539","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7223","Metalldreiere mv.","2486","2461","2401","2427","2353","2410.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7224","Metallslipere","75","68","69","68","72","69.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7231","Bilmekanikere","22944","20263","21320","20426","21894","20975.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7232","Mekanikere innen flytekniske fag","1202","1226","1173","1163","1179","1185.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7233","Anleggsmaskin- og industrimekanikere","23043","22507","21807","22095","22237","22161.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7234","Sykkelreparatører mv.","373","254","281","356","320","302.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"7311","Presisjonsinstrumentmakere og -reparatører","548","515","515","523","515","517","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
